Image,Filter,Kernel / Parameter,MSE,PSNR (dB),Sharpness,Execution Time (ms)
ss_1,Laplacian,3x3,676.183305,19.830159,9101.543668,47.521000
ss_1,Gradient,Sobel 3x3,643.417037,20.045878,1265.293924,65.899000
ss_1,High-Boost,A=1.5,536.513822,20.834994,981.970014,42.066900
ss_1,Comparison-Mean,3x3,79.577762,29.122886,173.565312,30.098700
ss_1,Comparison-Gaussian,3x3,47.408738,31.372220,231.014112,4.537000
ss_1,Comparison-Median,3x3,26.501221,33.898145,788.818086,2.198800
ss_1,Comparison-Laplacian,3x3,676.183305,19.830159,9101.543668,47.521000
ss_1,Comparison-High-Boost,A=1.5,536.513822,20.834994,981.970014,42.066900
ss_2,Laplacian,3x3,392.808337,22.188997,5497.709430,24.240600
ss_2,Gradient,Sobel 3x3,430.552848,21.790539,861.859737,35.939000
ss_2,High-Boost,A=1.5,953.833279,18.336079,665.094279,36.173900
ss_2,Comparison-Mean,3x3,53.220954,30.869977,105.823930,4.518000
ss_2,Comparison-Gaussian,3x3,31.795574,33.107137,143.046895,1.743900
ss_2,Comparison-Median,3x3,17.915679,35.598471,517.309582,2.226400
ss_2,Comparison-Laplacian,3x3,392.808337,22.188997,5497.709430,24.240600
ss_2,Comparison-High-Boost,A=1.5,953.833279,18.336079,665.094279,36.173900
ss_3,Laplacian,3x3,640.651320,20.064586,8097.316998,50.564700
ss_3,Gradient,Sobel 3x3,559.043222,20.656350,1057.480175,47.590900
ss_3,High-Boost,A=1.5,1838.128207,15.487046,930.995757,48.799200
ss_3,Comparison-Mean,3x3,75.567002,29.347482,165.819604,10.238800
ss_3,Comparison-Gaussian,3x3,44.860804,31.612133,215.327116,1.660600
ss_3,Comparison-Median,3x3,23.283918,34.460243,767.343135,2.564300
ss_3,Comparison-Laplacian,3x3,640.651320,20.064586,8097.316998,50.564700
ss_3,Comparison-High-Boost,A=1.5,1838.128207,15.487046,930.995757,48.799200
