Image,Filter,Kernel / Parameter,MSE,PSNR (dB),Sharpness,Execution Time (ms)
ss_1,Laplacian,3x3,676.183305,19.830159,9101.543668,27.311400
ss_1,Gradient,Sobel 3x3,643.417037,20.045878,1265.293924,42.901600
ss_1,High-Boost,A=1.5,536.513822,20.834994,981.970014,39.880200
ss_1,Comparison-Mean,3x3,79.577762,29.122886,173.565312,6.151800
ss_1,Comparison-Gaussian,3x3,47.408738,31.372220,231.014112,2.108300
ss_1,Comparison-Median,3x3,26.501221,33.898145,788.818086,1.923800
ss_1,Comparison-Laplacian,3x3,676.183305,19.830159,9101.543668,27.311400
ss_1,Comparison-High-Boost,A=1.5,536.513822,20.834994,981.970014,39.880200
ss_2,Laplacian,3x3,392.808337,22.188997,5497.709430,44.499200
ss_2,Gradient,Sobel 3x3,430.552848,21.790539,861.859737,44.008800
ss_2,High-Boost,A=1.5,953.833279,18.336079,665.094279,37.888900
ss_2,Comparison-Mean,3x3,53.220954,30.869977,105.823930,7.157800
ss_2,Comparison-Gaussian,3x3,31.795574,33.107137,143.046895,4.321200
ss_2,Comparison-Median,3x3,17.915679,35.598471,517.309582,2.570600
ss_2,Comparison-Laplacian,3x3,392.808337,22.188997,5497.709430,44.499200
ss_2,Comparison-High-Boost,A=1.5,953.833279,18.336079,665.094279,37.888900
ss_3,Laplacian,3x3,640.651320,20.064586,8097.316998,36.877100
ss_3,Gradient,Sobel 3x3,559.043222,20.656350,1057.480175,39.802600
ss_3,High-Boost,A=1.5,1838.128207,15.487046,930.995757,35.129500
ss_3,Comparison-Mean,3x3,75.567002,29.347482,165.819604,4.735400
ss_3,Comparison-Gaussian,3x3,44.860804,31.612133,215.327116,2.601600
ss_3,Comparison-Median,3x3,23.283918,34.460243,767.343135,1.717700
ss_3,Comparison-Laplacian,3x3,640.651320,20.064586,8097.316998,36.877100
ss_3,Comparison-High-Boost,A=1.5,1838.128207,15.487046,930.995757,35.129500
